freq,purchase,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,TOTAL,RCH_A_AVG,LU	5.4 	3.7 	4.2 	5.0 	4.4 	5.4 	6.0 	5.6 	7.1 	10.1 
A,TOTAL,RCH_A_AVG,LV	-11.0 	10.4 	3.0 	6.9 	6.0 	-3.4 	8.5 	8.8 	9.6 	9.0 
A,TOTAL,RCH_A_AVG,MT	1.1 	-1.4 	3.0 	-0.4 	2.6 	5.8 	5.4 	5.3 	5.8 	6.1 p
A,TOTAL,RCH_A_AVG,NL	-1.7 	-2.0 	-6.7 	-6.0 	0.8 	3.6 	5.0 	7.5 	9.5 	7.3 
A,TOTAL,RCH_A_AVG,NO	8.3 d	8.2 	6.7 	4.3 	2.7 	6.7 	7.9 	5.4 	1.6 	4.0 
A,TOTAL,RCH_A_AVG,PL	: 	0.1 	-3.5 	-4.4 	1.0 	1.5 	1.9 	3.9 	6.6 	8.7 
A,TOTAL,RCH_A_AVG,PT	0.8 	-4.9 	-7.1 	-1.9 	4.2 	3.1 	7.1 	9.2 	10.3 	9.6 
A,TOTAL,RCH_A_AVG,RO	-7.5 	-12.3 	-5.1 	-0.3 	-2.1 	2.9 	6.0 	6.0 	5.6 	3.4 
A,TOTAL,RCH_A_AVG,SE	7.9 	2.6 	1.3 	5.2 	9.4 	13.1 	8.2 	6.6 	-0.9 	2.5 
A,TOTAL,RCH_A_AVG,SI	0.1 	2.7 	-6.9 	-5.2 	-6.6 	0.8 	3.3 	8.3 	8.7 	6.7 
A,TOTAL,RCH_A_AVG,SK	-4.0 	-1.5 	-2.7 	0.9 	1.4 	5.4 	6.7 	5.9 	7.4 	9.1 
A,TOTAL,RCH_A_AVG,TR	: 	6.9 d	9.5 d	11.4 d	13.6 d	16.1 d	13.3 d	10.2 d	6.9 d	5.4 d
A,TOTAL,RCH_A_AVG,UK	5.8 	-1.5 	0.4 	2.6 	8.0 	5.9 	7.0 	4.6 	3.3 	1.0 
