"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0686 Eksjö";"permanent dwelling (no site leasehold rights)";284;281;291;274;289;278;308;370;362;443;481;436;420;404;436;427;481;501;470;587;563;593;594;691;691;839;859;915;1016;1012;952;1072;1068;1215;1256;1324;1427;1558;1595
"0687 Tranås";"permanent dwelling (no site leasehold rights)";286;277;294;284;280;306;385;389;422;496;537;474;462;479;530;530;578;546;605;679;657;680;799;827;838;970;995;1025;1095;1161;1054;1242;1268;1233;1506;1439;1671;1841;2104
"0760 Uppvidinge";"permanent dwelling (no site leasehold rights)";175;174;155;201;170;181;191;233;224;271;339;279;249;302;281;304;340;360;326;344;347;355;391;392;403;468;574;548;575;608;568;552;526;642;594;608;726;790;780
"0761 Lessebo";"permanent dwelling (no site leasehold rights)";215;208;203;193;209;208;230;268;312;316;350;297;321;307;330;364;341;375;430;442;400;424;428;445;482;513;574;606;654;634;734;697;693;727;768;815;910;1016;970
"0763 Tingsryd";"permanent dwelling (no site leasehold rights)";179;209;187;183;220;205;210;255;283;304;377;373;320;348;368;396;414;398;429;399;417;484;488;549;543;549;628;737;746;730;675;792;774;688;759;729;881;931;950
"0764 Alvesta";"permanent dwelling (no site leasehold rights)";252;244;255;258;276;273;301;331;357;402;421;407;347;397;433;431;463;473;476;484;550;583;586;642;751;809;853;898;1011;918;911;931;1041;1099;1158;1325;1481;1553;1553
"0765 Älmhult";"permanent dwelling (no site leasehold rights)";257;252;238;251;276;295;331;340;355;396;433;412;367;465;456;467;529;555;559;516;654;643;730;806;829;1005;1068;1119;1142;1211;1262;1234;1372;1242;1518;1720;1761;2028;1903
"0767 Markaryd";"permanent dwelling (no site leasehold rights)";229;250;227;236;224;241;260;310;341;376;366;341;348;363;355;381;360;409;395;401;393;409;462;482;591;581;774;697;764;783;764;708;725;791;870;778;857;991;1090
"0780 Växjö";"permanent dwelling (no site leasehold rights)";372;373;363;369;379;391;411;454;524;593;661;670;590;674;679;693;742;803;818;886;939;966;1077;1263;1325;1545;1673;1789;1817;1939;1998;1997;2180;2298;2544;2736;2971;2970;3022
"0781 Ljungby";"permanent dwelling (no site leasehold rights)";289;305;265;284;261;294;339;366;403;473;498;478;470;549;539;539;554;613;613;646;776;727;834;857;844;1022;1158;1248;1234;1307;1182;1231;1324;1321;1260;1361;1541;1585;1651
"0821 Högsby";"permanent dwelling (no site leasehold rights)";158;170;159;168;161;170;166;202;213;280;249;264;238;260;262;280;261;282;292;298;314;327;310;342;340;367;395;407;415;520;425;373;419;456;469;486;514;569;597
"0834 Torsås";"permanent dwelling (no site leasehold rights)";217;175;184;184;186;215;209;230;272;347;331;297;295;259;310;347;355;355;350;413;382;389;437;376;465;507;633;608;611;638;591;581;552;709;721;749;887;956;960
"0840 Mörbylånga";"permanent dwelling (no site leasehold rights)";294;290;265;265;261;313;337;376;446;535;602;507;520;536;499;538;538;557;585;606;718;731;846;892;998;1149;1220;1460;1507;1593;1633;1614;1598;1725;1877;1966;2348;2102;2174
"0860 Hultsfred";"permanent dwelling (no site leasehold rights)";175;193;177;199;202;197;213;245;265;322;282;274;278;263;283;299;314;342;337;330;321;329;329;359;349;406;367;409;409;463;473;474;476;477;554;550;619;752;715
"0861 Mönsterås";"permanent dwelling (no site leasehold rights)";226;229;219;213;236;259;274;292;342;386;408;387;369;372;416;459;391;432;491;470;474;538;558;604;610;660;697;784;850;948;883;951;927;909;1092;1157;1233;1303;1304
"0862 Emmaboda";"permanent dwelling (no site leasehold rights)";203;205;190;204;187;206;244;235;301;318;348;306;300;305;360;376;373;373;390;424;374;396;387;437;478;518;547;603;558;565;545;595;620;550;617;666;683;724;762
"0880 Kalmar";"permanent dwelling (no site leasehold rights)";321;327;313;331;354;378;410;474;511;614;758;740;618;630;656;698;732;790;802;898;940;1031;1113;1242;1379;1635;1619;1706;1822;1883;1864;2035;1980;2058;2212;2532;2819;2788;2807
"0881 Nybro";"permanent dwelling (no site leasehold rights)";253;242;232;276;254;256;281;309;368;432;387;404;397;418;411;444;461;463;461;455;472;495;527;579;610;653;788;755;849;826;867;751;855;890;881;973;1201;1238;1329
"0882 Oskarshamn";"permanent dwelling (no site leasehold rights)";301;295;297;313;334;353;353;376;443;499;522;512;550;528;558;572;591;669;663;674;733;805;788;812;979;1032;1111;1163;1213;1344;1372;1341;1441;1608;1578;1707;1748;2036;1828
"0883 Västervik";"permanent dwelling (no site leasehold rights)";250;253;250;263;278;285;301;356;398;465;551;444;415;421;450;451;504;516;540;586;637;633;653;675;738;944;892;941;1043;1170;1252;1251;1300;1327;1391;1536;1707;1613;1765
